일자,time,교통량
2018-09-29,252,0
2018-09-30,250,0
2018-10-01,284,0
2018-10-02,263,0
2018-10-03,300,0
2018-10-04,277,0
2018-10-05,293,0
2018-10-06,281,0
2018-10-07,258,0
2018-10-08,277,0
2018-10-09,261,0
2018-10-10,277,0
2018-10-11,311,0
2018-10-12,323,0
2018-10-13,272,0
2018-10-14,266,0
2018-10-15,273,0
2018-10-16,264,0
2018-10-17,275,0
2018-10-18,273,0
2018-10-19,277,0
2018-10-20,280,0
2018-10-21,281,0
2018-10-22,308,0
2018-10-23,283,0
2018-10-24,292,0
2018-10-25,278,0
2018-10-26,301,0
2018-10-27,302,0
2018-10-28,299,22
2018-10-29,270,0
2018-10-30,278,15
2018-10-31,289,14
2018-11-01,289,0
2018-11-02,286,18
2018-11-03,305,15
2018-11-04,250,0
2018-11-05,268,0
2018-11-06,301,0
2018-11-07,252,5
2018-11-08,284,0
2018-11-09,270,0
2018-11-10,299,0
2018-11-11,268,0
2018-11-12,281,0
2018-11-13,262,0
2018-11-14,308,0
2018-11-15,266,0
2018-11-16,264,0
2018-11-17,311,0
2018-11-18,261,0
2018-11-19,282,0
2018-11-20,280,0
2018-11-21,266,0
2018-11-22,288,0
2018-11-23,285,0
2018-11-24,315,0
2018-11-25,292,0
2018-11-26,263,0
2018-11-27,262,0
2018-11-28,285,0
2018-11-29,280,0
2018-11-30,262,0
2018-12-01,293,0
2018-12-02,285,0
2018-12-03,250,0
2018-12-04,260,0
2018-12-05,259,0
2018-12-06,254,13
2018-12-07,256,0
2018-12-08,298,0
2018-12-09,254,0
2018-12-10,258,0
2018-12-11,269,0
2018-12-12,281,0
2018-12-13,292,8
2018-12-14,276,17
2018-12-15,271,0
2018-12-16,261,0
2018-12-17,284,0
2018-12-18,277,23
2018-12-19,254,11
2018-12-20,289,24
2018-12-21,281,0
2018-12-22,271,0
2018-12-23,253,36
2018-12-24,245,17
2018-12-25,257,28
2018-12-26,266,14
2018-12-27,257,22
2018-12-28,246,0
2018-12-29,272,43
2018-12-30,275,0
2018-12-31,244,21
2019-01-01,257,19
2019-01-02,237,0
2019-01-03,248,18
2019-01-04,252,0
2019-01-05,258,0
2019-01-06,262,0
2019-01-07,254,25
2019-01-08,277,0
2019-01-09,267,0
2019-01-10,267,0
2019-01-11,266,0
2019-01-12,261,35
2019-01-13,259,0
2019-01-14,253,0
2019-01-15,249,0
2019-01-16,258,0
2019-01-17,242,0
2019-01-18,247,0
2019-01-19,267,0
2019-01-20,243,0
2019-01-21,256,0
2019-01-22,259,0
2019-01-23,254,17
2019-01-24,241,0
2019-01-25,270,0
2019-01-26,242,0
2019-01-27,243,0
2019-01-28,248,15
2019-01-29,258,0
2019-01-30,275,15
2019-01-31,260,18
2019-02-01,278,0
2019-02-02,268,0
2019-02-03,305,0
2019-02-04,290,67
2019-02-05,297,40
2019-02-06,278,47
2019-02-07,243,20
2019-02-08,247,18
2019-02-09,238,22
2019-02-10,255,17
2019-02-11,258,17
2019-02-12,256,16
2019-02-13,250,15
2019-02-14,250,15
2019-02-15,283,17
2019-02-16,253,31
2019-02-17,261,30
2019-02-18,256,16
2019-02-19,308,12
2019-02-20,257,17
2019-02-21,264,22
2019-02-22,252,20
2019-02-23,259,35
2019-02-24,266,29
2019-02-25,267,23
2019-02-26,261,9
2019-02-27,250,21
2019-02-28,272,33
2019-03-01,308,53
2019-03-02,268,34
2019-03-03,261,41
2019-03-04,247,24
2019-03-05,242,12
2019-03-06,265,16
2019-03-07,266,9
2019-03-08,255,21
2019-03-09,258,24
2019-03-10,268,26
2019-03-11,245,13
2019-03-12,258,14
2019-03-13,260,18
2019-03-14,270,18
2019-03-15,256,10
2019-03-16,268,25
2019-03-17,239,21
2019-03-18,257,17
2019-03-19,264,20
2019-03-20,269,16
2019-03-21,244,9
2019-03-22,267,26
2019-03-23,284,33
2019-03-24,233,22
2019-03-25,253,17
2019-03-26,258,18
2019-03-27,256,10
2019-03-28,247,17
2019-03-29,249,24
2019-03-30,264,27
2019-03-31,254,21
2019-04-01,264,17
2019-04-02,303,11
2019-04-03,234,11
2019-04-04,258,17
2019-04-05,294,25
2019-04-06,285,27
2019-04-07,254,23
2019-04-08,252,14
2019-04-09,293,18
2019-04-10,263,16
2019-04-11,280,17
2019-04-12,267,22
2019-04-13,278,22
2019-04-14,250,27
2019-04-15,254,18
2019-04-16,267,14
2019-04-17,353,15
2019-04-18,256,16
2019-04-19,250,19
2019-04-20,269,30
2019-04-21,245,13
2019-04-22,275,22
2019-04-23,255,13
2019-04-24,248,14
2019-04-25,257,16
2019-04-26,255,24
2019-04-27,269,29
2019-04-28,262,17
2019-04-29,247,22
2019-04-30,299,18
2019-05-01,259,21
2019-05-02,289,18
2019-05-03,279,28
2019-05-04,345,40
2019-05-05,276,41
2019-05-06,273,28
2019-05-07,269,18
2019-05-08,256,12
2019-05-09,259,12
2019-05-10,265,22
2019-05-11,274,20
2019-05-12,237,13
2019-05-13,266,16
2019-05-14,274,11
2019-05-15,246,9
2019-05-16,250,11
2019-05-17,265,22
2019-05-18,284,22
2019-05-19,245,24
2019-05-20,279,15
2019-05-21,258,12
2019-05-22,324,16
2019-05-23,253,20
2019-05-24,286,16
2019-05-25,280,20
2019-05-26,269,18
2019-05-27,274,17
2019-05-28,250,15
2019-05-29,272,12
2019-05-30,247,15
2019-05-31,252,10
2019-06-01,256,30
2019-06-02,282,24
2019-06-03,266,14
2019-06-04,254,11
2019-06-05,277,24
